1 	 	 2 	 	 3 	
T 	 DT 	 T 	 DT 	 T 	 DT	
27,81	-0,0600000000000023	29	0	28,31	-0,0600000000000023	
27,81	0	29	0	28,31	0	
27,81	0	29	0	28,31	0	
27,81	0	29	0	28,31	0	
27,81	0	29	0	28,31	0	
27,87	0,0600000000000023	29	0	28,37	0,0600000000000023	
27,81	-0,0600000000000023	29	0	28,31	-0,0600000000000023	
27,81	0	29	0	28,31	0	
27,81	0	29	0	28,31	0	
27,81	0	29	0	28,31	0	
27,81	0	29	0	28,31	0	
27,81	0	29	0	28,31	0	
27,81	0	29	0	28,25	-0,0599999999999987	
27,81	0	29	0	28,25	0	
27,81	0	29	0	28,25	0	
27,81	0	29	0	28,25	0	
27,81	0	29	0	28,25	0	
27,81	0	29	0	28,25	0	
27,81	0	29	0	28,19	-0,0599999999999987	
27,81	0	29	0	28,19	0	
27,81	0	29	0	28,19	0	
27,81	0	29	0	28,19	0	
27,75	-0,0599999999999987	29	0	28,19	0	
27,75	0	29	0	28,19	0	
27,75	0	29	0	28,12	-0,0700000000000003	
27,75	0	29	0	28,12	0	
27,75	0	29	0	28,12	0	
27,75	0	29	0	28,12	0	
27,75	0	29	0	28,12	0	
27,75	0	29	0	28,12	0	
27,75	0	28,5	-0,5	28,06	-0,0600000000000023	
27,75	0	28,5	0	28,06	0	
27,75	0	28,5	0	28,06	0	
27,75	0	28,5	0	28,06	0	
27,75	0	28,5	0	28,06	0	
27,75	0	29	0,5	28,06	0	
27,75	0	28,5	-0,5	28,06	0	
27,75	0	28,5	0	28,06	0	
27,75	0	28,5	0	28,06	0	
27,75	0	28,5	0	28,06	0	
27,75	0	28,5	0	28	-0,0599999999999987	
27,75	0	28,5	0	28	0	
27,69	-0,0599999999999987	28,5	0	28	0	
27,69	0	28,5	0	28	0	
27,69	0	28,5	0	28	0	
27,69	0	28,5	0	28	0	
27,69	0	28,5	0	28	0	
27,69	0	28,5	0	28	0	
27,69	0	28,5	0	27,94	-0,0599999999999987	
27,69	0	28,5	0	27,94	0	
27,69	0	28,5	0	27,94	0	
27,69	0	28,5	0	27,94	0	
27,69	0	28,5	0	27,94	0	
27,69	0	28,5	0	27,94	0	
27,69	0	28,5	0	27,94	0	
27,69	0	28,5	0	27,94	0	
27,69	0	28,5	0	27,87	-0,0700000000000003	
27,69	0	28,5	0	27,87	0	
27,69	0	28,5	0	27,87	0	
27,69	0	28,5	0	27,87	0	
27,69	0	28,5	0	27,87	0	
27,69	0	28,5	0	27,87	0	
27,62	-0,0700000000000003	28,5	0	27,87	0	
27,62	0	28,5	0	27,87	0	
27,69	0,0700000000000003	28,5	0	27,81	-0,0600000000000023	
27,69	0	28,5	0	27,81	0	
27,69	0	28,5	0	27,81	0	
27,69	0	28,5	0	27,81	0	
27,62	-0,0700000000000003	28,5	0	27,81	0	
27,62	0	28,5	0	27,81	0	
27,62	0	28,5	0	27,81	0	
27,62	0	28,5	0	27,81	0	
27,62	0	28,5	0	27,81	0	
27,62	0	28,5	0	27,81	0	
27,62	0	28,5	0	27,75	-0,0599999999999987	
27,62	0	28,5	0	27,75	0	
27,62	0	28,5	0	27,75	0	
27,62	0	28,5	0	27,75	0	
27,62	0	28,5	0	27,75	0	
27,62	0	28,5	0	27,75	0	
27,62	0	28,5	0	27,75	0	
27,62	0	28,5	0	27,75	0	
27,62	0	28,5	0	27,75	0	
27,62	0	28,5	0	27,75	0	
27,56	-0,0600000000000023	28,5	0	27,69	-0,0599999999999987	
27,56	0	28,5	0	27,69	0	
